user,item,ts
0,0,0
1,1,1423
2,2,2000
3,3,2013
4,2,2075
5,2,2078
6,2,2086
7,2,2090
8,2,2097
9,4,2103
10,5,2127
11,2,2128
9,5,2132
12,5,2185
13,5,2197
6,5,2199
2,6,2207
14,6,2223
15,5,2224
16,2,2252
17,5,2255
18,2,2275
1,5,2275
19,7,2293
20,7,2293
21,8,2300
22,9,2311
23,6,2314
24,2,2324
25,7,2331
26,10,2355
3,11,2360
3,12,2365
6,9,2378
2,13,2379
26,12,2383
27,14,2386
28,14,2388
10,15,2408
29,16,2410
30,7,2410
6,6,2410
31,5,2411
3,17,2412
32,11,2429
2,18,2433
3,19,2440
6,11,2440
33,2,2444
34,19,2448
25,14,2453
35,11,2458
36,12,2462
2,10,2465
37,13,2468
38,11,2469
38,10,2469
39,11,2475
40,20,2481
41,21,2481
41,20,2481
41,22,2481
6,23,2481
42,16,2482
43,24,2482
43,25,2482
43,20,2482
44,24,2483
44,22,2483
45,26,2484
9,16,2484
33,16,2485
46,16,2485
29,25,2486
29,27,2486
29,20,2487
47,21,2488
47,28,2488
47,25,2488
47,22,2488
33,14,2489
48,13,2494
49,29,2496
50,10,2496
2,29,2500
46,28,2501
46,25,2501
46,27,2501
51,16,2509
6,14,2509
51,26,2510
34,13,2513
52,14,2513
53,16,2514
3,25,2516
3,30,2516
3,31,2519
13,12,2519
54,14,2519
55,15,2521
3,32,2523
3,33,2523
56,10,2526
15,23,2526
38,15,2527
57,17,2531
58,26,2531
58,19,2531
33,23,2534
59,20,2537
60,14,2538
47,34,2538
16,14,2539
9,12,2548
61,35,2550
33,10,2552
3,21,2554
29,24,2554
62,20,2561
13,15,2561
63,36,2561
64,37,2567
65,15,2573
15,12,2575
66,28,2577
67,16,2578
67,20,2578
68,38,2578
69,15,2579
70,25,2580
70,20,2580
30,8,2582
71,39,2583
71,40,2588
72,16,2588
73,41,2588
69,18,2595
33,38,2596
68,34,2596
27,42,2599
29,41,2599
54,42,2601
74,11,2604
74,17,2604
53,8,2607
75,17,2609
3,34,2612
76,25,2614
76,43,2614
77,42,2614
6,37,2615
9,24,2620
20,24,2620
78,38,2621
72,5,2622
46,37,2623
79,23,2626
80,44,2627
5,45,2629
49,41,2630
81,37,2631
82,42,2633
58,38,2637
57,2,2641
83,34,2641
84,44,2642
9,44,2642
45,25,2653
85,14,2657
63,8,2660
86,38,2666
87,34,2667
6,34,2669
9,21,2670
9,39,2670
83,17,2670
80,14,2671
51,19,2672
81,25,2673
88,23,2674
89,46,2676
90,42,2678
2,47,2678
27,23,2680
33,34,2682
68,14,2682
91,48,2684
92,41,2686
93,14,2687
29,49,2687
68,50,2688
80,36,2690
25,25,2695
80,29,2697
49,39,2697
29,51,2697
10,2,2699
69,34,2699
94,42,2701
95,30,2703
96,20,2703
79,14,2703
97,38,2705
98,14,2706
99,20,2707
74,52,2707
100,39,2708
80,53,2708
101,28,2709
102,42,2711
103,42,2713
104,42,2714
105,54,2715
100,55,2716
46,42,2719
106,35,2720
79,25,2720
90,56,2724
2,38,2724
80,38,2725
52,29,2727
87,50,2731
33,42,2736
80,34,2736
107,42,2737
89,55,2741
72,15,2742
107,57,2743
2,40,2747
107,50,2748
2,58,2748
51,25,2749
108,42,2749
109,42,2750
45,30,2751
80,37,2751
24,14,2752
44,59,2753
110,22,2753
9,51,2754
79,54,2755
9,28,2756
39,17,2758
10,43,2761
52,42,2762
108,60,2762
111,12,2763
112,40,2764
112,13,2765
81,39,2767
113,8,2767
26,31,2770
114,26,2770
13,39,2771
83,16,2776
83,37,2776
13,46,2779
13,61,2780
63,62,2780
49,14,2782
6,62,2782
53,39,2783
26,21,2785
108,52,2786
46,63,2787
115,62,2793
2,64,2793
49,64,2794
97,25,2797
51,5,2798
27,21,2799
51,15,2799
116,33,2800
117,54,2802
118,42,2804
22,31,2806
33,46,2808
12,15,2808
119,46,2810
119,65,2810
83,58,2811
14,66,2813
63,53,2815
112,43,2815
120,62,2816
121,42,2821
37,40,2821
6,31,2821
122,55,2822
63,29,2823
13,31,2827
111,4,2827
57,52,2828
123,42,2830
33,58,2831
22,30,2833
124,28,2840
125,39,2841
126,30,2842
15,30,2844
127,50,2846
46,51,2847
46,59,2847
13,21,2848
110,31,2848
6,30,2849
44,67,2850
78,22,2850
78,68,2850
127,15,2851
127,37,2851
80,58,2851
15,54,2854
127,14,2856
127,39,2856
128,69,2856
129,52,2857
127,28,2860
81,65,2862
27,54,2866
80,7,2867
51,18,2868
3,70,2878
112,48,2879
33,31,2880
130,39,2883
131,42,2888
33,54,2891
51,60,2893
12,56,2896
2,56,2897
51,33,2900
132,31,2901
133,71,2903
20,37,2904
134,56,2908
51,65,2909
135,22,2912
136,14,2913
88,54,2915
56,47,2916
56,58,2916
81,51,2918
30,69,2918
137,33,2919
138,67,2920
6,51,2921
139,41,2923
139,39,2924
140,58,2924
95,72,2926
141,14,2928
141,39,2928
142,28,2931
143,42,2933
144,58,2933
145,5,2936
146,73,2941
147,40,2942
119,21,2943
6,54,2944
123,38,2946
129,51,2951
148,56,2952
142,21,2953
34,42,2954
133,21,2954
149,43,2956
136,34,2958
150,54,2958
151,70,2959
152,14,2965
33,70,2967
153,74,2967
3,75,2968
154,42,2969
119,76,2971
2,14,2972
155,54,2973
27,22,2975
156,54,2976
69,22,2976
122,42,2978
51,51,2979
65,38,2979
157,2,2980
158,54,2981
63,64,2982
159,77,2982
26,54,2985
33,41,2986
89,35,2986
132,55,2988
51,21,2989
160,6,2992
161,42,2992
63,51,2993
129,78,2996
136,59,2997
162,70,2999
163,61,2999
164,79,3000
69,70,3003
135,48,3004
34,80,3006
165,81,3007
112,22,3009
2,79,3010
152,74,3013
54,50,3013
5,82,3014
34,48,3016
166,51,3016
25,79,3017
111,74,3019
145,48,3020
34,47,3024
167,61,3024
12,13,3026
77,79,3032
89,83,3033
168,29,3035
52,48,3037
89,3,3038
