user,item,ts
0,0,0
1,1,27
2,2,29
0,3,97
3,4,363
3,5,385
4,6,450
5,2,809
6,7,898
5,8,969
0,8,983
7,9,1070
5,10,1092
8,8,1111
8,11,1176
8,12,1176
9,1,1195
2,13,1218
10,14,1219
11,15,1426
12,13,1439
13,16,1528
14,6,1560
15,17,1611
16,18,1617
16,8,1617
17,0,1748
12,0,1799
18,11,1833
18,8,1833
18,14,1840
18,19,1840
19,20,1913
20,21,1932
21,19,1940
21,11,1943
22,8,1962
23,22,1965
24,13,1978
23,9,1991
23,19,1991
23,23,1991
23,8,2077
25,24,2142
26,25,2161
27,21,2163
27,16,2163
28,11,2187
28,8,2238
29,26,2239
30,27,2246
31,28,2247
32,29,2256
10,11,2257
33,30,2259
33,31,2259
34,32,2263
31,32,2271
31,33,2278
28,34,2280
35,35,2280
36,15,2290
35,8,2293
36,36,2295
31,37,2301
37,7,2302
36,23,2307
25,38,2312
38,39,2320
39,35,2348
40,40,2350
41,41,2381
42,35,2386
43,42,2392
44,21,2409
45,43,2411
46,44,2423
8,18,2428
31,43,2438
47,45,2438
48,46,2460
49,14,2470
50,8,2472
50,22,2473
51,26,2480
52,47,2488
9,48,2495
53,35,2509
54,6,2515
15,35,2517
55,49,2526
56,17,2542
56,28,2542
17,7,2552
57,50,2570
58,13,2575
59,51,2577
60,42,2582
45,2,2586
61,21,2587
61,19,2587
62,51,2594
63,52,2596
56,53,2596
20,43,2598
64,54,2602
8,55,2606
65,37,2607
18,18,2610
66,37,2612
67,54,2617
68,56,2617
69,57,2619
20,37,2620
70,58,2621
71,18,2624
71,23,2624
71,8,2624
71,59,2624
72,35,2627
73,1,2634
73,60,2634
73,61,2634
73,62,2634
73,63,2634
24,8,2636
74,43,2637
68,64,2637
18,65,2638
75,6,2642
58,3,2645
76,34,2653
77,37,2655
78,66,2656
3,67,2661
24,21,2664
79,29,2667
27,8,2672
80,68,2676
81,69,2680
82,70,2690
83,33,2690
83,37,2690
84,71,2698
62,8,2698
48,57,2698
85,42,2700
86,30,2710
87,37,2714
88,33,2723
89,72,2723
90,73,2726
90,74,2726
91,75,2726
91,76,2726
92,77,2727
90,78,2727
93,58,2728
94,61,2734
82,79,2744
87,75,2753
59,25,2766
87,17,2767
95,51,2768
96,80,2771
48,51,2781
97,28,2782
98,23,2784
99,81,2789
99,53,2789
99,82,2789
38,63,2790
100,21,2797
101,83,2810
102,84,2822
103,18,2839
104,85,2845
105,75,2846
106,83,2847
107,6,2848
108,75,2865
109,61,2877
110,37,2887
111,17,2896
111,42,2896
112,30,2899
113,31,2902
37,27,2904
114,31,2914
115,86,2921
116,46,2923
117,1,2924
118,10,2927
119,56,2928
96,87,2934
120,29,2934
121,88,2935
122,46,2937
71,89,2938
123,67,2941
81,3,2942
124,90,2942
65,91,2943
111,23,2944
125,92,2945
46,84,2950
126,93,2955
127,10,2955
123,42,2955
128,65,2957
68,29,2961
129,19,2963
129,94,2963
130,82,2966
111,35,2966
121,95,2967
131,94,2967
111,46,2974
54,96,2975
129,14,2975
132,13,2976
133,13,2978
134,95,2980
126,40,2981
135,97,2985
136,68,2987
129,23,2988
129,98,2988
137,99,2990
129,100,2992
80,101,2993
102,102,2995
61,103,2997
126,33,2998
138,13,2999
139,104,3001
45,105,3004
107,106,3006
140,107,3006
141,8,3007
142,85,3007
99,108,3009
99,109,3009
41,110,3015
143,44,3015
143,11,3015
143,94,3015
144,111,3029
145,41,3029
111,112,3033
146,26,3034
147,113,3035
101,114,3036
148,54,3038
149,115,3043
150,96,3045
45,116,3045
120,44,3045
45,117,3046
143,118,3046
151,119,3046
151,120,3046
151,121,3046
151,63,3046
151,122,3046
151,123,3047
151,46,3047
151,91,3047
134,104,3050
134,124,3050
134,125,3051
152,105,3059
153,126,3061
154,68,3061
143,127,3064
143,128,3064
143,129,3064
155,41,3066
88,126,3067
156,130,3067
157,44,3069
90,61,3070
90,63,3070
158,90,3077
120,66,3081
159,69,3085
160,94,3085
161,131,3088
156,132,3090
162,37,3091
162,32,3091
163,133,3093
164,87,3094
165,134,3095
166,26,3100
166,94,3100
167,17,3101
165,30,3103
168,35,3111
169,135,3114
169,111,3114
169,136,3114
170,48,3130
170,126,3130
171,67,3132
147,44,3136
172,131,3142
173,94,3143
129,132,3145
126,137,3149
174,138,3150
175,82,3151
176,37,3151
167,68,3151
177,139,3154
178,38,3154
178,140,3154
92,80,3154
80,82,3154
129,18,3154
179,133,3157
150,141,3159
180,142,3162
92,57,3163
181,17,3164
182,143,3166
183,144,3166
184,145,3169
67,146,3175
148,27,3176
114,53,3179
114,147,3179
184,103,3180
185,30,3181
114,93,3187
186,148,3192
187,135,3193
187,136,3193
188,70,3199
189,149,3200
144,150,3201
190,151,3203
191,152,3204
188,153,3205
24,154,3207
192,155,3212
193,156,3215
194,137,3215
195,88,3215
188,146,3219
196,132,3224
197,13,3226
155,157,3227
121,158,3231
198,147,3238
152,125,3243
199,28,3247
200,20,3249
80,90,3249
113,30,3253
201,156,3254
185,54,3263
51,159,3265
202,160,3266
100,94,3270
203,161,3270
204,162,3271
205,163,3272
121,164,3275
126,165,3275
149,166,3275
149,165,3275
204,139,3275
206,167,3276
17,167,3276
207,165,3276
208,167,3276
199,46,3276
164,165,3277
164,167,3277
189,165,3277
204,168,3277
209,165,3278
210,72,3279
177,167,3280
164,169,3281
211,11,3283
38,170,3285
41,167,3286
164,171,3288
199,172,3288
212,13,3289
213,21,3291
214,87,3291
215,8,3291
215,43,3291
215,42,3291
216,165,3295
217,166,3295
217,165,3295
189,167,3298
95,166,3298
114,173,3300
140,7,3302
218,174,3303
147,175,3304
219,176,3305
219,100,3305
152,9,3306
114,177,3308
157,156,3310
114,178,3310
220,81,3314
221,179,3314
221,180,3314
222,80,3317
223,181,3318
224,71,3324
225,12,3328
211,139,3329
226,65,3329
89,182,3329
211,162,3330
211,127,3330
227,183,3331
228,184,3331
209,167,3332
229,185,3332
164,90,3333
81,37,3333
30,59,3337
230,80,3339
149,41,3343
231,186,3345
232,21,3345
81,4,3346
233,187,3350
234,188,3353
235,189,3354
236,190,3355
216,166,3355
237,37,3355
154,134,3356
211,191,3357
238,192,3357
126,193,3358
49,194,3358
239,37,3359
219,105,3361
240,44,3361
241,195,3362
241,190,3362
96,196,3363
242,45,3364
37,52,3364
156,147,3364
156,197,3364
156,124,3364
173,99,3366
173,64,3368
163,89,3369
243,105,3369
129,61,3371
114,52,3372
244,68,3374
126,198,3375
244,134,3376
245,166,3377
145,186,3377
228,199,3378
246,0,3379
247,139,3379
81,200,3380
248,99,3380
249,201,3380
249,70,3380
250,144,3383
251,73,3385
252,127,3386
126,133,3386
20,202,3386
253,89,3388
225,94,3388
254,203,3391
49,116,3392
252,21,3393
255,44,3393
256,204,3393
46,82,3394
48,205,3394
257,17,3395
257,37,3395
258,94,3395
35,95,3395
35,206,3395
204,207,3396
21,208,3396
235,66,3397
259,189,3400
49,209,3400
49,210,3400
257,211,3401
260,162,3402
261,11,3404
261,37,3404
261,94,3404
262,95,3406
263,212,3406
264,213,3408
185,214,3409
265,215,3410
265,216,3410
266,1,3411
267,217,3411
267,208,3411
114,218,3417
268,44,3419
129,214,3419
3,37,3420
269,140,3421
270,44,3422
211,16,3423
154,219,3424
135,56,3426
271,67,3430
207,175,3430
272,220,3431
163,68,3432
273,221,3432
214,79,3434
274,222,3435
55,112,3435
275,223,3436
146,224,3439
162,225,3439
144,47,3440
276,226,3441
126,101,3442
277,66,3443
278,110,3443
182,135,3444
279,227,3446
280,220,3446
281,228,3447
163,112,3448
138,53,3448
138,229,3449
282,56,3449
263,230,3451
283,230,3453
280,231,3454
284,232,3456
285,42,3456
286,233,3456
287,234,3460
288,99,3461
231,125,3464
289,235,3470
289,236,3470
258,123,3472
258,63,3472
220,37,3474
290,8,3479
290,237,3479
138,114,3480
290,16,3480
220,238,3480
290,111,3482
290,200,3482
290,127,3482
14,211,3486
236,55,3489
291,17,3498
271,225,3500
292,239,3503
253,129,3510
293,106,3510
38,17,3511
294,44,3512
295,51,3513
150,227,3516
150,94,3517
296,21,3519
229,131,3528
297,1,3534
297,123,3534
297,46,3534
287,240,3535
267,241,3539
204,242,3541
182,27,3543
82,166,3543
182,102,3544
298,157,3547
299,243,3547
300,83,3554
259,244,3555
279,60,3557
109,118,3560
27,82,3565
301,88,3566
302,245,3567
301,246,3567
301,247,3579
196,248,3583
303,249,3584
304,250,3584
305,53,3589
60,28,3591
162,28,3592
306,79,3592
307,251,3592
153,83,3596
196,121,3596
308,111,3597
308,94,3597
308,191,3597
138,252,3602
309,88,3603
301,10,3603
301,250,3604
301,164,3605
135,253,3610
135,254,3610
208,255,3610
172,226,3612
164,255,3613
310,256,3613
311,255,3613
224,257,3613
185,131,3613
121,257,3614
312,132,3615
17,226,3615
313,168,3615
313,98,3615
236,255,3617
211,257,3617
314,258,3618
315,259,3620
126,122,3620
135,260,3621
316,261,3621
177,226,3624
226,242,3624
317,262,3625
318,208,3627
206,255,3628
319,261,3628
300,35,3631
129,47,3631
320,255,3632
320,226,3632
321,53,3633
321,263,3633
118,257,3633
322,261,3633
323,264,3634
27,164,3634
324,226,3634
325,257,3635
196,265,3635
326,265,3638
327,266,3638
241,267,3638
328,268,3639
329,68,3639
330,141,3639
331,256,3640
157,268,3640
332,261,3641
333,255,3641
186,269,3643
186,270,3643
268,271,3645
181,38,3646
329,114,3648
196,110,3650
247,16,3652
334,268,3652
60,266,3653
335,272,3655
336,266,3655
81,242,3656
337,57,3656
338,266,3656
339,273,3657
49,89,3657
340,268,3659
167,257,3659
341,261,3662
342,274,3662
13,268,3662
343,274,3662
208,54,3663
344,200,3664
335,275,3665
38,152,3665
345,276,3666
346,276,3666
347,277,3667
348,269,3667
349,278,3667
350,276,3668
14,279,3668
351,280,3668
274,281,3668
194,145,3669
104,276,3669
352,255,3669
352,257,3669
353,276,3669
354,276,3669
355,276,3669
339,265,3670
356,279,3670
39,279,3670
274,264,3670
255,279,3670
217,282,3670
357,283,3671
357,256,3671
274,67,3671
358,284,3672
359,279,3672
360,279,3673
361,285,3673
362,276,3674
276,276,3675
363,140,3676
29,281,3677
301,260,3677
190,172,3678
308,128,3680
364,261,3680
226,191,3681
244,154,3681
152,281,3681
365,82,3681
325,120,3682
366,286,3684
367,279,3685
238,200,3686
172,287,3687
368,268,3687
256,27,3688
369,256,3689
370,214,3689
371,281,3689
372,279,3690
373,163,3693
374,279,3694
196,95,3694
375,268,3695
376,245,3695
377,276,3696
378,268,3696
68,92,3696
379,279,3697
23,257,3697
380,266,3697
275,226,3697
225,65,3698
381,37,3699
216,266,3701
382,264,3702
335,288,3702
335,289,3702
309,232,3702
43,28,3702
365,148,3703
383,279,3704
384,13,3704
194,122,3706
190,290,3706
38,37,3706
25,39,3706
25,86,3706
25,92,3710
44,168,3711
385,64,3712
323,266,3713
386,184,3714
387,291,3718
388,29,3719
338,168,3719
389,168,3721
389,94,3721
389,98,3721
389,292,3721
389,209,3721
390,190,3721
391,134,3724
174,283,3724
66,4,3725
66,181,3725
392,176,3726
393,147,3726
394,279,3727
153,113,3727
395,13,3728
384,28,3729
250,293,3729
234,294,3729
110,234,3730
396,237,3730
396,209,3730
397,268,3731
398,276,3732
381,32,3733
126,45,3734
102,27,3736
399,230,3736
400,30,3737
401,277,3738
198,288,3740
335,128,3741
335,94,3741
402,295,3741
358,48,3742
114,144,3742
20,176,3744
138,277,3744
149,37,3744
101,261,3745
403,296,3746
404,280,3749
405,297,3749
405,95,3749
405,142,3749
279,22,3749
406,226,3751
407,298,3751
408,161,3751
201,276,3753
409,100,3755
409,202,3755
239,94,3756
15,173,3757
259,180,3758
410,32,3758
411,295,3759
412,161,3759
413,8,3759
413,139,3759
413,292,3759
414,295,3759
280,299,3759
415,44,3760
416,295,3760
383,299,3760
368,295,3760
417,300,3762
231,95,3762
330,301,3762
38,157,3763
375,295,3764
185,295,3765
418,190,3766
419,302,3766
420,295,3767
421,156,3767
422,303,3768
423,295,3768
110,225,3769
173,248,3769
424,295,3770
425,299,3770
373,26,3770
323,295,3771
342,295,3771
38,304,3771
320,305,3772
318,295,3774
426,190,3774
427,306,3774
365,144,3776
428,295,3777
253,25,3778
248,175,3779
429,307,3780
38,308,3780
402,52,3780
200,295,3781
339,309,3781
262,310,3781
262,241,3781
430,39,3781
431,295,3781
432,299,3781
265,295,3782
286,25,3782
125,311,3783
239,34,3783
340,295,3784
380,299,3784
286,158,3784
433,190,3785
223,295,3785
240,295,3785
311,295,3786
434,295,3787
258,114,3787
258,312,3787
173,49,3787
173,313,3787
435,295,3788
282,314,3789
169,27,3791
262,303,3791
262,277,3791
262,305,3791
177,295,3792
436,284,3792
278,205,3792
337,94,3793
334,295,3793
437,94,3794
437,191,3794
262,247,3794
233,299,3795
173,154,3795
262,161,3795
220,148,3795
220,251,3795
309,39,3796
438,168,3796
439,103,3797
440,235,3799
253,144,3800
358,315,3801
358,316,3801
441,317,3804
442,264,3804
239,139,3805
347,198,3806
443,75,3806
443,76,3806
443,318,3806
444,305,3806
307,29,3806
445,319,3807
445,74,3808
446,295,3808
433,170,3808
297,320,3808
279,77,3808
447,131,3809
442,289,3809
129,62,3809
150,136,3810
448,100,3811
449,283,3812
450,261,3815
451,321,3815
2,136,3816
452,322,3818
452,14,3819
452,116,3819
268,222,3819
157,323,3820
453,161,3820
454,295,3820
455,289,3820
456,323,3820
299,323,3820
457,323,3821
458,323,3821
459,323,3821
236,323,3822
460,38,3822
461,323,3822
168,323,3822
175,323,3823
462,323,3823
331,323,3823
463,323,3823
464,323,3823
465,54,3824
190,185,3824
309,323,3824
466,324,3825
467,66,3825
468,323,3826
129,64,3826
469,295,3827
470,323,3827
471,323,3827
26,323,3828
93,323,3828
219,323,3828
126,325,3829
472,323,3829
300,325,3830
340,323,3831
473,323,3831
474,323,3832
475,323,3834
399,326,3834
69,323,3834
476,126,3834
476,323,3834
477,323,3835
399,282,3835
324,323,3835
362,323,3836
478,323,3836
399,327,3836
479,323,3837
423,323,3837
351,323,3837
284,323,3837
480,328,3837
480,329,3837
53,225,3838
121,323,3839
53,122,3839
481,323,3839
482,323,3840
483,330,3841
343,325,3841
229,323,3842
484,323,3842
485,323,3842
486,323,3842
487,323,3842
488,325,3843
226,323,3844
112,323,3844
13,323,3844
401,323,3844
91,323,3844
285,323,3844
8,323,3844
489,323,3844
490,88,3845
22,323,3845
314,331,3846
491,323,3846
492,323,3847
436,325,3847
239,162,3847
493,323,3848
55,323,3848
9,323,3849
342,323,3849
377,24,3850
411,323,3850
317,299,3851
494,323,3851
272,152,3851
495,323,3851
496,323,3851
497,325,3852
498,323,3852
499,323,3852
409,323,3853
15,263,3854
66,317,3854
24,325,3855
316,323,3856
