user,item,ts
0,0,0
1,1,27
2,2,27
3,3,27
3,4,27
3,5,27
4,6,31
5,7,35
6,8,36
7,9,39
8,10,40
9,11,42
9,12,42
9,2,42
9,13,42
9,14,42
9,15,42
9,16,43
5,17,43
10,18,43
11,19,44
11,20,44
4,21,45
12,17,47
13,22,48
14,23,50
7,23,50
1,24,51
9,25,51
9,26,52
9,27,52
10,11,52
10,25,52
4,28,52
15,29,53
16,30,53
17,31,54
17,32,54
17,33,54
17,34,54
17,26,54
17,35,54
17,36,54
9,21,54
18,37,55
8,38,58
19,39,59
19,31,59
20,40,59
21,12,62
22,41,62
23,32,62
24,15,63
25,42,71
26,38,72
27,43,74
28,44,75
29,25,75
27,9,75
0,45,76
7,46,77
30,47,78
31,42,78
32,48,79
32,49,79
32,30,79
33,45,80
33,50,80
26,13,80
34,51,81
29,52,81
35,20,82
36,41,82
37,47,83
38,53,84
39,54,84
35,55,85
35,3,86
40,56,86
25,3,86
41,57,87
42,58,87
4,59,87
43,60,89
44,10,89
44,61,89
44,62,89
44,37,89
44,49,89
45,52,90
45,63,90
36,2,92
36,21,92
46,38,96
47,64,97
19,32,98
35,23,100
48,65,100
7,66,100
31,8,100
42,7,101
49,26,101
43,40,101
43,67,101
35,21,102
49,7,103
31,13,103
26,29,106
50,41,106
27,48,106
14,28,108
4,66,108
27,60,108
51,41,109
52,32,109
53,32,109
14,68,110
54,52,111
55,58,113
55,65,113
56,69,114
37,70,114
57,21,114
56,3,115
35,71,116
5,68,116
58,72,117
27,73,117
56,74,118
59,39,118
59,8,118
59,75,118
60,64,118
37,5,119
61,53,119
62,76,120
26,77,123
26,78,124
63,41,125
64,32,130
49,32,131
50,78,133
42,79,134
65,76,134
66,80,135
56,81,137
67,53,137
68,13,137
68,21,138
60,26,141
69,52,142
70,31,145
31,82,146
35,38,147
68,35,147
71,9,148
70,32,148
14,26,149
42,19,149
15,51,149
72,38,149
70,83,149
70,77,149
73,13,150
74,84,151
75,72,152
25,69,152
68,17,152
72,12,156
72,85,156
72,19,156
72,26,156
72,68,156
26,86,156
72,53,157
76,87,158
45,88,158
33,89,158
69,66,158
77,90,159
71,59,159
71,88,159
78,88,160
15,91,160
25,74,161
33,92,161
33,93,161
31,88,161
79,94,163
32,37,163
80,95,163
23,96,164
32,59,165
72,39,165
72,97,165
81,98,166
72,71,167
82,99,167
42,65,168
83,100,168
73,51,169
79,101,169
50,30,170
65,102,171
84,103,173
72,57,173
85,11,173
86,99,173
73,29,174
87,104,174
88,105,174
88,106,174
88,14,174
88,49,174
72,106,174
65,9,176
89,57,176
32,88,177
79,105,178
32,99,178
90,72,179
84,2,181
91,95,185
86,37,185
72,99,188
49,9,189
92,88,189
90,107,190
49,108,190
3,109,190
14,110,193
93,111,193
94,112,193
95,34,193
96,113,193
84,15,194
97,99,195
93,16,195
26,99,195
79,32,196
79,86,196
93,80,196
84,114,196
82,72,196
82,6,196
82,34,196
82,115,196
82,95,196
35,11,197
84,113,197
82,116,197
83,21,198
98,110,198
63,117,199
99,21,200
100,118,200
100,22,200
101,84,201
102,119,202
37,11,202
37,57,202
99,15,203
103,120,203
104,34,203
104,21,203
103,105,204
103,118,204
103,17,204
103,121,204
103,36,204
83,98,204
83,43,204
100,16,204
100,122,204
25,11,205
105,37,206
106,123,207
107,12,208
108,80,208
84,99,209
35,108,210
109,88,210
72,103,211
27,32,211
110,2,211
110,99,211
111,17,212
110,32,212
110,103,212
110,68,212
35,95,213
23,105,213
23,22,213
112,100,213
111,46,213
111,77,213
68,124,215
113,125,215
114,11,215
115,13,216
46,39,216
116,95,216
87,126,216
110,72,216
117,65,217
101,80,217
118,127,217
100,14,217
111,128,217
111,129,218
111,130,218
111,108,218
111,131,218
119,132,220
120,133,221
121,134,221
121,135,221
121,136,221
121,137,221
121,138,221
61,139,221
27,77,221
121,140,222
121,141,222
122,11,222
122,99,222
122,142,222
103,16,223
123,143,223
123,25,223
123,113,223
26,25,223
111,21,223
111,144,223
73,95,224
124,145,224
37,146,224
125,83,224
101,147,224
3,146,224
126,10,225
65,99,225
26,44,225
127,16,226
128,28,226
128,37,226
128,99,226
110,23,226
110,110,226
73,148,227
120,149,227
119,83,227
73,94,229
73,104,229
37,109,229
129,131,229
50,55,229
22,91,230
89,10,230
101,150,230
72,151,230
105,108,231
103,21,231
103,96,231
130,145,231
87,2,231
20,3,231
131,152,231
110,19,231
110,7,231
110,151,231
110,37,231
110,128,231
110,152,231
124,34,232
132,84,232
125,100,232
89,27,232
50,71,232
133,94,233
105,99,234
105,110,234
105,131,234
84,23,234
131,25,234
122,153,234
87,154,235
87,63,235
134,77,235
107,155,236
135,9,236
124,156,237
101,52,237
34,151,237
34,99,237
136,120,237
65,126,239
33,157,239
111,142,239
111,158,239
111,159,239
137,99,240
137,159,240
111,160,240
66,161,241
99,114,241
12,162,241
97,163,242
87,9,242
87,164,242
72,163,242
138,28,242
139,113,242
103,127,243
76,67,243
135,144,243
117,130,244
105,48,244
140,151,244
140,99,244
141,21,245
69,34,245
71,163,246
142,104,246
143,142,246
19,13,247
28,32,248
28,165,248
144,32,249
145,103,250
49,21,250
136,130,250
146,26,251
146,95,251
146,99,251
146,101,251
73,34,252
93,142,252
140,76,252
49,166,254
111,166,255
147,109,256
148,167,256
148,21,256
148,96,256
149,142,256
28,52,256
28,80,256
28,142,256
101,168,257
150,169,258
151,142,258
148,13,258
152,12,258
152,6,258
152,26,258
152,37,258
56,20,259
56,170,259
0,92,259
108,124,259
145,158,260
153,57,260
153,52,260
153,65,260
154,52,260
108,16,260
108,130,260
155,171,263
155,172,263
155,0,263
103,32,263
103,173,263
80,131,263
19,162,263
156,130,263
124,174,264
155,175,264
155,176,264
76,40,264
31,10,264
31,142,264
157,120,264
158,2,264
107,64,265
107,97,265
107,5,265
107,177,265
132,26,266
140,163,266
159,7,266
74,120,267
74,9,267
160,130,267
161,16,267
161,178,267
161,111,267
87,43,267
162,2,268
155,179,269
155,180,269
155,181,269
155,182,269
155,183,269
155,184,269
155,185,269
155,186,269
69,21,269
139,25,269
139,187,269
139,188,269
139,18,269
139,189,269
163,77,270
74,190,270
85,191,270
68,130,270
135,130,270
164,112,270
107,10,271
165,86,272
155,163,272
140,130,272
126,26,273
166,192,273
166,155,273
153,193,273
28,174,273
141,168,274
167,130,274
146,194,275
89,25,276
69,174,276
168,131,276
25,47,277
169,151,277
169,130,277
169,99,277
123,90,277
87,30,277
87,167,277
170,130,277
139,130,277
39,130,278
72,193,278
84,130,279
101,163,279
107,44,279
31,152,279
171,195,280
172,196,280
39,197,280
39,198,280
87,26,280
59,199,280
140,35,280
173,105,282
173,86,282
174,200,282
174,201,282
174,202,282
111,203,282
64,130,282
174,130,283
175,177,284
71,166,284
176,204,284
87,51,284
173,28,285
87,73,285
135,105,285
151,205,286
125,149,286
177,130,286
133,206,286
178,205,286
179,207,286
179,208,286
180,209,287
181,210,287
87,151,287
182,211,287
179,212,287
179,213,287
183,214,288
183,215,288
183,171,288
183,176,288
183,0,288
184,216,288
185,141,288
63,154,289
186,217,290
124,91,290
187,218,290
187,206,290
187,202,290
187,219,290
188,220,290
189,221,290
176,205,290
166,222,290
166,223,290
190,224,290
191,210,290
61,203,290
192,225,291
99,9,291
187,226,291
193,227,291
37,153,291
37,53,291
37,74,291
37,52,291
37,81,291
194,124,291
195,92,291
59,228,291
73,31,292
193,18,292
196,123,292
196,57,292
196,229,292
85,20,292
197,230,292
198,13,292
198,57,292
198,101,292
184,231,292
119,232,292
119,233,292
119,234,292
196,28,293
196,185,293
184,92,293
119,77,293
119,235,293
193,236,294
193,237,294
193,234,294
37,163,294
87,13,294
178,204,294
59,214,294
199,157,295
65,107,295
200,205,295
201,50,296
166,135,296
166,238,296
83,201,296
202,239,297
202,54,297
202,240,297
201,222,297
63,130,297
187,241,297
203,130,297
204,202,297
205,200,297
206,201,297
85,235,297
207,200,297
202,171,298
202,242,298
202,0,298
202,243,298
151,130,298
208,130,298
209,32,298
140,166,298
210,49,299
202,200,299
202,166,299
211,244,299
37,3,299
37,94,299
37,195,299
37,27,299
37,245,299
212,246,299
212,247,299
174,137,299
133,248,300
213,249,300
111,191,300
29,142,300
213,250,301
214,32,301
85,194,301
85,251,301
197,252,301
114,239,301
196,21,302
87,140,302
174,219,302
168,103,302
115,104,303
199,253,303
215,136,303
215,254,303
216,255,303
99,256,304
33,253,304
133,196,304
217,257,304
115,105,305
115,28,305
115,26,305
115,258,305
193,123,305
218,11,305
218,2,305
218,25,305
218,56,305
218,57,305
218,62,305
218,163,305
218,27,305
219,201,305
219,235,305
87,134,305
220,82,306
221,237,306
221,244,306
221,259,306
221,260,306
221,232,306
221,50,306
219,191,306
222,1,306
85,261,306
223,154,306
223,110,306
179,262,306
37,2,307
37,68,307
224,195,308
224,263,308
225,34,308
59,202,308
226,192,308
226,222,308
226,264,308
142,81,308
227,255,308
41,12,309
41,2,309
41,25,309
41,99,309
41,27,309
220,164,309
228,211,310
228,170,310
81,26,310
1,33,311
229,227,312
220,72,312
230,130,312
166,265,312
231,219,312
232,168,313
233,89,313
233,266,313
233,267,313
89,52,313
210,107,314
87,19,314
53,4,314
234,255,315
133,192,315
133,268,315
197,269,315
235,226,316
236,255,316
35,46,316
237,200,316
238,270,316
239,271,316
240,205,317
67,4,318
241,217,318
128,207,318
242,214,318
243,235,318
244,272,318
245,39,319
181,273,319
222,181,319
85,274,319
246,142,319
210,35,320
37,4,320
37,275,320
190,210,320
214,235,320
135,276,320
79,166,321
215,277,321
215,278,321
215,279,321
182,3,321
243,100,321
243,75,321
243,132,321
243,131,321
247,204,322
215,229,322
59,280,322
3,18,322
189,241,323
61,90,323
65,235,324
197,281,324
248,102,324
249,135,324
250,282,325
251,255,325
199,26,325
199,15,325
37,283,326
37,284,326
228,285,326
28,122,326
28,0,326
28,95,326
28,127,326
69,46,326
252,78,326
253,286,327
254,272,327
255,287,327
256,166,327
257,288,328
257,130,328
258,200,328
259,32,329
87,263,329
87,223,329
12,281,330
71,178,330
260,270,330
261,244,330
261,201,330
262,130,330
250,205,331
263,0,331
247,289,332
215,200,333
215,290,333
215,291,334
215,292,334
264,45,334
264,293,334
265,294,335
265,98,335
265,57,335
265,115,335
265,219,335
265,295,335
266,279,335
234,296,335
107,7,335
267,84,335
118,204,335
110,166,335
234,239,336
234,297,336
234,193,336
234,225,336
233,298,336
268,299,336
178,289,336
178,300,336
269,301,336
245,95,337
234,302,337
234,144,337
234,289,337
270,15,337
110,292,337
249,234,338
271,303,338
272,157,339
273,304,339
249,137,339
274,305,340
173,0,340
28,306,340
275,219,340
276,307,341
276,201,341
276,308,341
276,281,341
259,7,341
259,235,341
277,309,341
29,130,341
278,271,341
265,0,342
199,37,342
276,310,342
276,260,342
276,311,342
249,281,342
279,22,342
280,296,342
57,312,343
270,149,343
281,272,344
199,158,345
12,159,345
12,313,345
71,314,345
282,244,345
283,303,345
116,32,346
284,297,346
264,313,346
241,205,347
285,315,347
88,86,347
283,185,347
286,310,347
286,135,347
286,201,347
286,252,347
287,290,348
220,187,348
220,59,348
51,130,348
71,316,348
288,194,348
289,310,348
289,244,348
289,260,348
289,123,348
289,229,348
289,201,348
290,314,349
291,317,349
292,95,350
293,46,350
234,318,350
288,76,350
265,319,351
141,320,351
88,321,351
261,281,351
294,171,351
210,316,352
295,270,352
91,322,352
296,323,352
283,241,352
297,324,352
298,319,352
211,267,353
299,325,353
195,326,353
111,320,353
111,316,353
179,299,353
116,21,354
116,191,354
88,293,354
118,327,354
300,328,355
165,329,356
165,156,356
266,262,356
225,142,356
174,330,356
224,244,357
301,331,357
140,332,357
294,266,357
114,69,357
302,168,358
154,194,358
303,59,358
304,321,359
305,333,359
306,161,359
276,334,359
116,193,359
307,335,359
308,270,360
126,336,360
116,82,360
307,337,360
307,338,360
307,207,360
309,155,360
309,240,360
28,156,360
294,0,360
111,339,360
111,336,360
179,289,360
199,228,361
215,340,361
307,239,361
310,341,361
310,257,361
311,342,361
312,193,361
126,343,362
126,344,362
313,345,362
314,251,362
307,346,362
310,347,362
310,348,362
315,320,362
126,349,363
171,167,363
153,350,363
283,351,363
316,309,363
98,316,363
303,187,363
303,130,363
303,344,363
199,267,364
309,192,364
263,171,364
199,130,365
290,352,365
290,194,365
125,133,365
216,353,365
310,354,365
317,355,365
317,356,365
280,353,365
179,357,365
318,358,366
319,359,366
215,360,366
320,207,366
276,361,366
309,228,366
11,321,366
59,0,366
22,150,367
22,73,367
321,362,367
322,363,367
242,325,367
4,166,367
303,364,367
323,281,368
324,365,368
111,366,368
140,321,369
37,64,370
136,367,370
325,32,370
283,267,371
326,368,371
303,200,371
303,369,371
303,370,371
320,312,372
327,293,372
88,332,372
263,325,372
323,371,373
328,290,373
329,372,373
329,343,373
330,373,373
59,374,373
59,375,373
179,376,373
175,290,374
331,200,374
332,1,374
329,337,374
333,377,374
333,378,374
249,379,374
294,380,374
303,301,374
34,194,375
123,342,375
20,381,375
199,382,376
175,155,376
334,157,377
335,163,377
305,244,377
305,182,377
305,383,377
268,384,377
89,62,377
336,200,377
223,23,377
326,171,377
337,93,378
337,373,378
193,346,378
91,178,378
338,200,378
333,385,378
333,386,378
248,309,378
248,332,378
134,366,378
280,387,378
202,244,379
126,21,379
126,191,379
339,151,379
339,139,379
340,166,379
340,142,379
340,271,379
340,281,379
88,95,379
275,353,379
268,213,380
268,312,380
341,207,380
341,365,380
341,299,380
341,388,380
341,389,380
341,390,380
341,391,380
317,392,380
333,393,380
333,394,380
333,395,380
333,396,380
326,205,380
342,397,381
327,313,381
326,326,381
343,289,381
343,299,381
343,397,381
343,398,381
343,373,381
268,365,382
118,398,382
344,130,382
345,399,382
346,400,382
111,387,382
235,299,383
323,401,383
323,169,383
175,318,383
347,402,383
347,213,383
329,401,383
28,123,383
28,346,383
303,299,383
210,339,384
348,403,384
340,404,384
349,405,385
320,406,385
347,365,385
347,299,385
73,309,386
254,247,386
254,407,386
349,271,386
298,207,386
298,408,386
318,135,387
342,299,387
211,409,387
126,93,387
350,343,387
351,399,387
283,214,387
329,410,387
111,411,387
126,412,388
349,346,388
351,413,388
351,398,388
40,322,388
352,414,388
352,281,388
352,300,388
352,373,388
353,415,388
354,194,388
354,252,388
322,400,389
314,346,389
176,365,389
46,376,389
8,415,389
8,397,389
309,207,389
190,416,389
261,346,389
326,272,389
323,135,390
314,123,390
355,267,390
216,417,390
356,418,390
231,419,390
231,420,390
231,202,390
2,166,390
192,418,391
357,421,391
358,422,391
352,311,391
326,231,391
97,423,392
359,424,392
360,37,392
360,9,392
360,163,392
360,27,392
360,425,392
361,171,392
118,365,392
298,171,392
362,426,393
362,365,393
137,162,393
200,365,393
343,427,393
363,338,394
340,303,394
